"소재지(시군구)별(1)",소재지(시군구)별(2),2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"소재지(시군구)별(1)",소재지(시군구)별(2),도시지역,녹지지역,녹지지역,도시지역,녹지지역,녹지지역,도시지역,녹지지역,녹지지역,도시지역,녹지지역,녹지지역
"소재지(시군구)별(1)",소재지(시군구)별(2),면적 (㎡),면적 (㎡),비율 (%),면적 (㎡),면적 (㎡),비율 (%),면적 (㎡),면적 (㎡),비율 (%),면적 (㎡),면적 (㎡),비율 (%)
"부산광역시",기장군,221563954,191349351,86.36,221563954,191353902,86.37,221563954,191356186,86.37,221563954,191318826,86.35
"대구광역시",소계,797919337,617503124,77.39,799328917,618689902,77.40,799299015,618124429,77.33,799509757,618303816,77.34
"대구광역시",중구,7055439,557173,7.90,7055185,556919,7.89,7055042,556776,7.89,7056241,557975,7.91
"대구광역시",동구,146864970,121343302,82.62,146850444,121329206,82.62,146842005,121321959,82.62,146854660,121334591,82.62
"대구광역시",서구,17328460,4337706,25.03,17333124,4329199,24.98,17319972,4315836,24.92,17319408,4315272,24.92
"대구광역시",남구,17430110,8280279,47.51,17431532,8280301,47.50,17431243,8280012,47.50,17431453,8280222,47.50
"대구광역시",북구,93979569,65393678,69.58,93983908,65315116,69.50,93985402,65315591,69.50,93987602,65286872,69.46
"대구광역시",수성구,76534405,56321137,73.59,76535269,56305221,73.57,76536911,55771193,72.87,76535524,55769762,72.87
"대구광역시",달서구,62341432,27649603,44.35,62339757,27608918,44.29,62340042,27609203,44.29,62352606,27621767,44.30
"대구광역시",달성군,376384952,333620246,88.64,377799698,334965022,88.66,377788398,334953859,88.66,377972263,335137355,88.67
"인천광역시",소계,579740346,287669507,49.62,529642905,294604259,55.62,529650659,293991224,55.51,529699653,293658058,55.44
"인천광역시",중구,141227343,109627695,77.62,141226543,109626864,77.62,141226543,109626864,77.62,141263611,109626864,77.60
"인천광역시",동구,7596941,831254,10.94,7596941,831254,10.94,7595936,831254,10.94,7595909,831254,10.94
"인천광역시",미추홀구,24897342,4407446,17.70,24840389,4417731,17.78,24840389,4417731,17.78,24840389,4417731,17.78
"인천광역시",연수구,123327193,23543612,19.09,73287493,30659269,41.83,73287493,30659269,41.83,73300094,30087371,41.05
"인천광역시",남동구,68648644,28452811,41.45,68648644,28452811,41.45,68657807,28461739,41.45,68657807,28461739,41.45
"인천광역시",부평구,31994589,10504730,32.83,31994600,10504730,32.83,31994600,10504730,32.83,31994438,10504730,32.83
"인천광역시",계양구,45549827,34125843,74.92,45549828,34125803,74.92,45549424,33503840,73.55,45549863,33814774,74.24
"인천광역시",서구,111605882,61617216,55.21,111605882,61426897,55.04,111605882,61426897,55.04,111604950,61354695,54.97
"인천광역시",강화군,17306615,14558900,84.12,17306615,14558900,84.12,17306615,14558900,84.12,17306615,14558900,84.12
"인천광역시",옹진군,7585970,0,0.00,7585970,0,0.00,7585970,0,0.00,7585977,0,0.00
"광주광역시",소계,480053767,358764406,74.73,480002734,358713372,74.73,480081726,357681289,74.50,479978979,357485576,74.48
"광주광역시",동구,49196644,38601492,78.46,49312364,38717212,78.51,49312364,38717212,78.51,49314065,38639529,78.35
"광주광역시",서구,47781025,27854903,58.30,47748121,27821999,58.27,47748121,27821999,58.27,47755979,27827249,58.27
"광주광역시",남구,60872269,44486602,73.08,60868238,44482571,73.08,60855251,44469584,73.07,60840032,44455731,73.07
"광주광역시",북구,120297717,90685739,75.38,120280473,90668495,75.38,120302200,89998680,74.81,120270544,89933280,74.78
"광주광역시",광산구,201906112,157135670,77.83,201793538,157023095,77.81,201863790,156673814,77.61,201798359,156629787,77.62
"대전광역시",소계,495818299,402981331,81.28,496123890,399318255,80.49,496123890,399332875,80.49,496123890,399332875,80.49
"대전광역시",동구,120563321,105637521,87.62,118734150,104145333,87.71,118734150,104145333,87.71,118734150,104145333,87.71
"대전광역시",중구,56218554,41940129,74.60,55685329,41367714,74.29,55685329,41367714,74.29,55685329,41367714,74.29
"대전광역시",서구,73093288,50475243,69.06,74892474,51971937,69.40,74892474,51971937,69.40,74892474,51971937,69.40
"대전광역시",유성구,177251011,154968036,87.43,177801819,152131217,85.56,177801819,152131217,85.56,177801819,152131217,85.56
"대전광역시",대덕구,68692125,49960402,72.73,69010118,49702054,72.02,69010118,49716674,72.04,69010118,49716674,72.04
"울산광역시",소계,755545356,515078500,68.17,755545353,515264441,68.20,761731893,522035487,68.53,764204857,519945191,68.04
"울산광역시",중구,37063741,23164227,62.50,37063741,23164227,62.50,37063741,23164227,62.50,37063741,22847567,61.64
"울산광역시",남구,73691355,28301945,38.41,73691355,28319105,38.43,73691355,28319105,38.43,72736108,26690180,36.69
"울산광역시",동구,36351722,22335863,61.44,36351722,22335863,61.44,36351722,22335863,61.44,36351722,22335863,61.44
"울산광역시",북구,120602620,95498510,79.18,120602620,95498510,79.18,120602620,95498510,79.18,120283505,95248827,79.19
"울산광역시",울주군,487835918,345777955,70.88,487835915,345946736,70.91,494022455,352717782,71.40,497769781,352822754,70.88
"세종특별자치시",소계,142715907,98705006,69.16,142715907,98705006,69.16,142495482,97277636,68.27,143324836,97420469,67.97
"세종특별자치시",세종특별자치시,142715907,98705006,69.16,142715907,98705006,69.16,142495482,97277636,68.27,143324836,97420469,67.97
"경기도",소계,3376013136,2609090987,77.28,3377274307,2603756858,77.10,3378712218,2600686964,76.97,3385441488,2579325673,76.19
"경기도",수원시,121138690,66050954,54.53,121182030,66107672,54.55,121136868,65312494,53.92,121136868,65312494,53.92
"경기도",성남시,141820897,105200413,74.18,141820898,104566413,73.73,141820898,103907864,73.27,141820898,103535647,73.00
"경기도",고양시,193400919,149852554,77.48,194127720,149477399,77.00,194977956,149095090,76.47,195008686,145090022,74.40
"경기도",용인시,388296171,342607475,88.23,388296611,342404550,88.18,388296558,342287358,88.15,392238936,340995264,86.94
"경기도",부천시,53450000,22210417,41.55,53450000,22003763,41.17,53450001,22009438,41.18,53450001,18928890,35.41
"경기도",안산시,151472341,108830262,71.85,151472339,108830262,71.85,151472340,108830262,71.85,151472343,106914861,70.58
"경기도",안양시,58480054,37890936,64.79,58480054,37890936,64.79,58480054,37890936,64.79,58480054,37890936,64.79
"경기도",남양주시,241792390,201105484,83.17,242423014,200769262,82.82,242423014,200761403,82.81,242423014,194177593,80.10
"경기도",화성시,317604045,240685034,75.78,317786985,240573062,75.70,317786985,240573062,75.70,317786985,240573062,75.70
"경기도",평택시,152224409,73986596,48.60,151090527,73832273,48.87,150952990,74036875,49.05,150952990,74036875,49.05
"경기도",의정부시,81616520,63504069,77.81,81598380,63485929,77.80,81598380,63413082,77.71,81598380,63155631,77.40
"경기도",시흥시,135059861,99496485,73.67,135056862,98373712,72.84,135056863,98306604,72.79,135056863,98306604,72.79
"경기도",파주시,80918908,48589159,60.05,81322573,48553932,59.71,81898412,48590400,59.33,81898412,48590400,59.33
"경기도",광명시,38506472,27212829,70.67,38506473,26884378,69.82,38506473,26714921,69.38,38506473,26715255,69.38
"경기도",김포시,101933117,76349722,74.90,101933117,76349722,74.90,101933117,76349722,74.90,104689413,74815054,71.46
"경기도",군포시,36460228,25270914,69.31,36460228,24911040,68.32,36460228,24911040,68.32,36460323,24906867,68.31
"경기도",광주시,172260533,159612933,92.66,172259487,159384739,92.53,172263425,159251905,92.45,172263424,159247390,92.44
"경기도",이천시,82297681,71255961,86.58,82195456,71821450,87.38,82195456,71821450,87.38,82195456,71821450,87.38
"경기도",양주시,150455384,118561224,78.80,150455382,118210430,78.57,150455047,118205726,78.57,150455384,118561224,78.80
"경기도",오산시,42757000,28240060,66.05,42757000,28187484,65.92,42757002,27919333,65.30,42757002,27920120,65.30
