* 통계표명 :,평균전세가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,2012년 01월 ~ 2023년 06월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2012년 01월 ~ 2023년 06월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,한국부동산원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2023.07.17 16:52:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월
,,,광진구,526724,529829,529711,528882,527105,526026,524053,523605,523684,524184,524342,524289,540500,538395,536816,535395,535132,535132,535632,536724,538013,539671,541053,543605,570732,571244,571659,572268,572305,573463,575098,578085,580524,582256,583793,587817,590195,593707,595341,596732,597890,599805,696293,699571,704757,708629,711386,713736
,,,동대문구,351620,351980,352230,352260,351940,351710,351270,351930,352810,353660,353840,353580,365170,364181,362138,361468,361383,361319,361149,361309,361628,362298,362787,363223,372472,373075,374151,374632,374745,375160,376160,377783,380283,381557,382925,385340,386925,388283,389217,389689,389953,391821,490985,493728,498650,501340,503586,504717
,,,중랑구,283104,283677,283823,283948,284073,284979,285635,286135,286500,286833,286750,286688,311182,310409,310045,309659,309511,309375,309125,308989,309170,309591,309864,310045,300213,300404,300511,300553,300532,300723,301277,302745,304245,305415,306245,308277,309606,311202,312181,313117,313670,314798,404683,406551,408277,409666,410506,410923
,,,성북구,363255,365645,368736,369118,369327,369427,370182,371145,371673,371927,372091,372036,370283,367538,364868,363321,363047,362509,362462,362925,363377,363877,364736,365764,372027,372911,373991,374866,375223,375848,377161,379134,381875,384188,386580,389339,392241,394571,396777,398911,401080,404143,518231,521834,525349,528646,531463,532258
,,,강북구,298571,300429,300571,300429,300943,301429,301857,303114,305400,307200,308171,307643,314197,311136,305030,303591,303606,304197,304924,305818,306424,307758,308212,308788,312653,313944,315222,316125,316861,318125,319514,321903,323750,324792,325986,328236,329903,331819,333014,333889,334750,336986,430149,432533,434880,437533,439525,440426
,,,도봉구,250982,250545,250364,250382,250436,250682,250827,251082,251182,251409,251573,251291,260519,259236,257425,256849,256396,256245,256208,256434,256585,256849,257274,257811,246929,247384,247625,247804,247866,248281,249076,249808,250844,251969,253353,254607,255491,256232,256661,257018,257259,257982,353416,355471,357896,359774,361443,362249
,,,노원구,259494,259581,259419,259219,258869,258500,258444,258806,258806,259119,259319,259406,267964,267841,267422,267156,267052,266851,266844,267078,267318,268227,268831,269519,274284,274660,275173,275099,274920,275438,276648,277883,279389,280815,282080,284315,286228,287951,289290,291031,292895,294870,364043,368016,371364,373984,376261,377418
,,서북권,,400103,401177,401656,401840,401933,401906,402771,403614,404971,406344,405935,403998,409383,407399,404816,402725,402321,402520,402539,402890,403090,403918,404707,405935,429093,430722,431768,432560,433200,434342,436529,439602,442169,443947,446867,451584,455172,457322,458699,459508,460230,462013,553971,557607,561542,566070,569768,570874
,,,은평구,332922,333511,334044,334222,334322,333978,334000,333833,334433,334767,334433,333967,337965,336488,333384,331523,331279,331128,331419,331686,332233,333070,333756,334395,359480,360347,360847,361235,361500,361980,363173,364918,366571,368112,369898,373163,375704,377929,379653,381622,383194,385444,462310,466140,469365,472904,475832,476739
,,,서대문구,372739,373784,374455,374830,375466,376068,376705,376773,377068,377182,376659,374739,377786,375702,373476,372476,372226,371881,372119,372167,372107,372333,372905,374000,378967,379413,379837,380120,380283,380728,381859,383565,384587,385978,387957,391120,393359,394837,395880,396707,396967,397924,538055,541098,544095,548124,551408,552328
,,,마포구,472324,473794,474088,474137,473824,473578,475265,477461,480186,483294,482912,479824,488480,486173,483735,480653,480010,480888,480531,481173,481296,482561,483592,485378,522644,525774,527726,529226,530524,532721,536500,541663,546125,548385,552923,559971,565413,568010,569356,569221,569606,571635,649793,653764,659138,664980,669724,671167
,강남지역,,,505981,506894,504056,500440,495981,493434,493400,495530,499504,500769,500830,499112,509714,504091,499783,497811,496988,496694,497072,498292,499576,502002,504849,509748,521397,522916,523818,524164,524995,526521,529593,534040,537790,540469,546720,553271,558390,562243,565641,566443,566804,574207,698967,704613,709992,715113,718473,720864
,,서남권,,374854,376581,375774,374264,373389,373227,374444,375775,377744,378881,378774,378411,388979,387281,385654,384196,383359,382927,383034,383547,384399,386401,388888,391633,392729,393111,393600,393856,393951,394447,395623,397799,399874,401723,404415,407954,410546,412657,414211,415217,415718,417800,524747,528830,532413,536121,538545,540717
,,,양천구,445792,449458,447667,442750,440883,441717,445008,446942,448958,449733,449925,450200,459978,458522,456119,453537,452455,451731,451776,452410,453127,455821,460746,467030,465807,466857,466379,465564,464743,464793,466271,468000,469807,471336,473414,477086,479000,480614,481986,482979,482693,482814,628315,634637,638089,643560,646847,650310
,,,강서구,324766,329453,329258,328680,328117,327195,328133,328313,330781,332008,331305,330852,339306,338484,337056,336266,335718,335234,335621,336218,337097,338935,340903,342952,354394,354894,355500,355955,355955,356348,357212,358932,360720,362432,364606,366773,368455,370045,371361,371898,372452,373545,491452,495426,498676,501691,503936,506701
,,,구로구,328328,329319,329586,329207,328603,328017,328034,328388,328534,328991,329216,329466,344891,343709,343182,342673,342182,341864,341791,341991,342464,343009,343936,344773,340212,340907,341822,342161,342534,343424,344492,346559,348678,350839,352932,355585,358415,360542,361856,362797,363653,365246,421051,423385,426186,428658,431477,433559
,,,금천구,269986,269786,269686,269400,269057,268957,269200,270086,270314,270800,270986,271071,272141,270969,270406,269969,269938,269719,269953,270141,270578,271219,272906,275375,318000,318308,318603,318897,319141,319538,320218,321923,323333,324936,326872,328833,329513,330308,331021,331267,331423,331718,380578,382647,385275,388477,388934,389283
,,,영등포구,393486,394277,393959,393705,393295,393941,393823,394859,397386,399914,400450,399932,424106,421792,420634,418449,416838,416579,415889,416324,417574,419824,422898,425111,419390,416805,417432,417898,417881,417992,419085,420864,422814,424398,426297,430364,432424,433771,434864,435593,436322,437949,581962,585631,589997,594935,598348,600900
,,,동작구,477190,475620,472270,469740,468380,467410,470380,475280,480220,481330,480230,478010,482806,478184,473888,471786,470663,470265,472000,473490,475214,479112,480847,483541,474885,477317,478394,479288,480452,481663,483548,487750,490154,492490,499058,504962,509846,514548,517606,519663,519971,528260,640281,646234,651562,656388,659353,661602
,,,관악구,337935,338152,338043,337489,336880,336913,337413,337946,338489,339587,339685,339576,341500,340930,340326,339198,338651,338221,337337,337140,337407,339070,341407,343512,337141,337728,338163,338598,338783,339380,340424,342880,346087,348207,350935,355674,360033,362837,364957,366630,367880,370359,472391,475782,478828,480299,480741,481034
,,동남권,,652128,652135,647033,641069,632615,627411,625982,629003,635211,636619,636867,633640,642566,632624,625368,622829,622023,621879,622556,624553,626314,629205,632448,639720,663838,666618,667976,668422,670067,672734,677905,684864,690470,694068,704259,714145,722060,727843,733282,733858,734064,747357,925512,933192,940907,947863,952442,955117
,,,서초구,786922,788680,780234,773594,764188,758758,759016,766555,771500,772516,769578,764383,789000,779112,770813,767321,766291,766030,768149,773910,778321,781925,785284,791104,856349,862240,864651,864589,863541,866329,872822,880610,887658,891664,904007,917507,926658,934041,937288,939630,939726,977356,1081912,1092018,1104106,1111128,1116791,1119795
,,,강남구,766839,767108,764210,757892,746274,740091,737296,738247,745129,746876,749833,747688,766421,752135,739404,734933,733927,734034,735169,737006,739034,742275,747393,757551,769973,772140,774435,776656,777645,779565,785301,792038,797349,801285,812801,823027,832344,840016,852043,852091,852102,856366,1131300,1139405,1148018,1156946,1162847,1166855
,,,송파구,563007,560431,554688,548486,540854,534222,531535,533354,542111,543583,543792,540965,538142,531299,529035,530521,532056,532951,533368,533826,534181,537972,541111,548201,564010,566679,566834,565818,570890,575117,579416,586656,592643,596221,605844,614435,621734,625357,628019,628221,628974,637903,828310,835523,840783,847368,850433,852285
,,,강동구,407187,408713,405307,401333,398607,397960,398860,401473,403827,405047,404807,401633,413635,406016,401310,396690,392659,390516,388992,388984,389214,389103,389135,393579,398940,398866,399269,399821,400388,401560,405500,411284,414858,417388,423470,430209,435164,439261,441082,440858,440627,444560,570056,574819,579413,583904,587386,588868
경기,,,,249422,248661,247976,247133,245954,244828,243722,242740,242536,242692,242542,241728,246019,245106,244037,242199,240985,240123,239614,239741,240319,241539,242997,244820,254351,256255,257752,258315,259002,260955,263496,266640,270256,273435,276699,280968,284276,287597,289469,290602,291798,294574,368781,373330,377231,381127,383349,384101
,경부1권,,,367890,368561,367828,366613,364802,363361,362146,361343,362122,362903,363333,362519,376097,373774,371068,366380,362892,361335,362159,363374,365320,368469,371193,375451,392538,394453,395207,394675,394791,395976,398649,401970,406007,409848,413546,419010,424015,427240,428382,428748,429132,430580,501618,505691,510028,513886,515002,515059
,,과천시,,541250,543750,543750,543125,541875,538333,534063,530208,532708,541271,553146,552521,616563,614896,612896,604271,593875,593083,595771,610354,623542,646396,663104,687271,697375,696500,690323,667844,636083,625667,634375,642458,653896,658938,661896,664229,662688,661417,659354,655771,652979,651500,716281,720563,726563,728719,732891,733672
,,안양시,,317701,317700,317949,317635,316567,315692,315090,314617,315171,315814,315978,315631,329353,327217,326637,322026,319408,318247,319720,320154,321426,323864,325473,330349,340910,344637,345968,345145,347264,350266,352869,355700,359628,362549,365957,369191,372524,373801,374777,375421,376615,381320,416651,422784,427885,431134,428784,426671
,,,만안구,267886,267818,268091,267716,266773,265727,265341,265239,265443,265511,265420,265193,274628,273532,271160,267862,265840,264755,272064,273106,274128,277074,279287,282766,299573,300615,300990,300083,301833,305250,307802,309719,314417,316729,318479,319896,321219,322563,323771,324781,326042,328448,359123,363770,366317,368415,363678,363675
,,,동안구,341714,341746,341984,341698,340571,339778,339071,338421,339143,340063,340349,339944,357377,354708,355046,349762,346838,345638,344123,344246,345646,347823,349123,354715,362273,367386,369212,368432,370742,373530,376159,379462,382992,386227,390492,394667,399038,400280,401136,401591,402750,408644,453589,460677,467418,471405,470589,467121
,,성남시,,443137,445045,443182,440726,437413,434878,433041,432121,433364,433973,434035,432643,452586,450182,447497,444862,442521,441285,443145,444128,445269,447861,451230,454693,485590,486353,486416,486355,486275,486749,489663,493536,498042,503116,507606,516525,524522,528816,529006,528192,527835,526640,623199,623875,626364,630294,632935,634127
,,,수정구,336323,336806,336097,335484,334129,331968,330677,329710,333935,334903,334903,332742,388378,384976,380854,379335,380884,380701,381738,384122,386878,393805,401427,407854,477310,479905,478631,479530,480827,484018,495929,505131,512988,519452,524851,531750,541036,543048,538512,534321,532143,527798,524779,530176,536305,543206,545473,545691
,,,중원구,258457,258314,258271,258186,258029,257557,257400,257586,258429,259029,258771,257886,271103,269897,268882,268118,267750,267721,267765,267838,268294,269309,270544,271412,270809,271603,272779,274485,275662,277074,278853,283279,287529,291441,294029,298882,302074,304309,305838,306654,307228,308213,410052,411185,412960,415101,414972,414547
,,,분당구,503151,505767,503295,499986,495623,492562,490253,489096,489904,490452,490596,489226,507196,504743,502000,498703,495068,493331,495777,496655,497595,499588,502500,505892,535236,535581,535696,535027,534358,534014,535162,537716,541527,546547,551257,561534,570311,575574,576527,576108,575953,574980,740232,738899,740232,743664,747473,749643
